WKT,name,description,Area
"POINT (139.775575 35.711336)",Nikuya no Daidokoro Ueno,Wagyu,Taito City
"POINT (139.7573295 35.6972304)",Jinbocho Meat Center,Wagyu,Kanda
"POINT (139.7972069 35.7122837)",Wagyu Ichinoya Asakusa,Wagyu,Asakusa
"POINT (139.6984167 35.66139340000001)",Shogun Burger Shibuya,Wagyu,Shibuya
"POINT (135.6775716 35.0142148)",Sagano Croquette,Wagyu,Kyoto
"POINT (135.6772067 35.0143963)",Wagyu Okada Ya | Kyoto Arashiyama,Wagyu,Kyoto
"POINT (135.7778417 34.9986951)",Wagyu Restaurant,Wagyu,Kyoto
"POINT (139.698636 35.6917564)",SAKImoto bakery Odakyuhyakkatenshinjukuten,Bakery,Shinjuku
"POINT (135.501566 34.666127)",Rikuro’s Namba Main Branch,Bakery,Osaka
"POINT (139.7006405 35.7015671)",Daio Cheese 10 Yen Bread Shin-Okubo Station,Bakery,Shinjuku
"POINT (139.7643308 35.67489019999999)",GODIVA Bakery "GODIPAN" Yurakucho Main Store,Bakery,Chiyoda
"POINT (139.7572946 35.6674246)",HIROTA Shinbashi Ekimae,Bakery,Minato City
"POINT (135.6771469 35.0163004)",Arashiyama Rilakkuma Tea House,Bakery,Kyoto
"POINT (135.6776547 35.0146777)",Arashiyama Miffy Sakura Kitchen,Bakery,Kyoto
"POINT (135.6791054 35.016202)",Taiyaki Shop Matsukaze,Bakery,Kyoto
"POINT (135.6794401 35.0141181)",Yosiya,Bakery,Kyoto
"POINT (135.7697598 35.00300660000001)",Kaiten Sushi Ginza Onodera Kyoto,Sushi,Kyoto
"POINT (139.7101363 35.6657505)",Kaiten Sushi Ginza Onodera,Sushi,Shibuya
"POINT (139.7034393 35.669107)",Gonpachi,Sushi,Shibuya
"POINT (135.7693194 34.96838)",Fushimiinari Senboninari,Sushi,Kyoto
"POINT (139.7018396 35.688774)",The Matcha Tokyo Shinjuku,Matcha,Shinjuku
"POINT (139.7075591 35.6603386)",Nanaya Aoyama,Matcha,Shibuya
"POINT (139.7756391 35.7105553)",nana's green tea (Ueno Marui),Matcha,Taito City
"POINT (135.7581769 34.9874017)",Itoh Kyuemon - Kyoto Station,Matcha,Kyoto
"POINT (135.7809617 34.9959625)",Kyo-Baum Kiyomizu,Matcha,Kyoto
"POINT (139.6973796 35.6610485)",Kumachan Onsen,Soup,Shibuya
"POINT (139.69989 35.659311)",Shabu-Yo,Soup,Shibuya
"POINT (139.7019669 35.6945107)",Osusumeya Shinjuku Kabuki,Soup,Shinjuku
"POINT (139.7322518 35.6638163)",Ippudo - Roppongi,Soup,Minato City
"POINT (139.705463 35.692236)",Onigiri Shop Manma,Snacks,Shinjuku
"POINT (135.7801763 34.99593559999999)",Arashiyama Sousuke Kiyomizu-dera,Snacks,Kyoto
"POINT (139.7053554 35.6904895)",Oiwake Dango,Snacks,Shinjuku
"POINT (135.6769922 35.0170653)",Sagano Chikuji-an Main Branch,Snacks,Kyoto
"POINT (135.6764189 35.0176051)",Kotoimo Honpo,Snacks,Kyoto
"POINT (135.6810478 35.01689640000001)",Tsuruyachosei Arashiyamaten,Snacks,Kyoto
"POINT (135.758045 34.9861048)",Fujinami,Snacks,Kyoto
"POINT (135.7782518 34.9986898)",Kyo Yasaka Pudding【yasaka/kiyomizudera】,Snacks,Kyoto
"POINT (135.7606275 34.9893363)",Gyukatsu Kyoto Katsugyu - Kyoto Station,Beef Stuff,Kyoto
"POINT (135.7594998 34.9889409)",YAKITORI Torikizoku Kyoto Shichijo Store,Beef Stuff,Kyoto
"POINT (135.5055525 34.6536869)",Niku no Sakamoto,Beef Stuff,Osaka
"POINT (135.5034665 34.6658279)",Kobe Beef WANOMIYA,Beef Stuff,Osaka
"POINT (135.502638 34.6688351)",Kushikatsu Daruma - Dotombori,Beef Stuff,Osaka
"POINT (135.781707 34.995864)",MORI Touki-Kan Main shop,Beef Stuff,Kyoto
"POINT (135.7809158 34.996092)",Eizando,Beef Stuff,Kyoto
"POINT (135.7699237 34.9683433)",FOV DRINK STAND,Karaage,Kyoto
"POINT (135.6769609 35.0150375)",とり山卯吉 嵐山昇龍苑店,Karaage,Kyoto
"POINT (135.767329 35.0082006)",Kin no Tori kara - Gold from the Bird - Shinkyogoku,Karaage,Kyoto
"POINT (135.7699204 34.9683584)",TORIKI BURGER 伏見稲荷OICYビレッジ店,Karaage,Kyoto
