WKT,name,description,Area,Price,Priority,Who?,Day
"POINT (139.429293 35.624512)",Sanrio Puroland,,Tama,30.0,High,Coni,
"POINT (139.8850779 35.6267108)",Tokyo DisneySea,,Chiba,60.0,High,Everyone,
"POINT (139.8803943 35.6328964)",Tokyo Disneyland,,Chiba,60.0,,Coni,
"POINT (139.5704317 35.696238)",Ghibli Museum,,Mitaka,6.7,High,Everyone,
"POINT (139.7897739 35.6491207)",teamLab Planets,,Koto City,30.0,Medium,Everyone,
"POINT (139.5175677 35.6249403)",Yomiuri Land,,Tama,40.0,,,
"POINT (139.7005596 35.659482)",Shibuya Scramble Crossing,,Shibuya,,Medium,Everyone,
"POINT (139.7744733 35.7022589)",Akihabara,,Taito City,,Medium,Everyone,
"POINT (139.7964757 35.7123238)",Nakamise,,Taito City,,Medium,Everyone,
"POINT (139.7765215 35.7188351)",Tokyo National Museum,,Taito City,6.7,Low,Everyone,
"POINT (139.7966621 35.7147887)",Sensoji temple,,Taito City,,Medium,Everyone,
"POINT (139.8107004 35.71006269999999)",Tokyo Skytree,,Sumida City,,High,Everyone,
"POINT (139.7454329 35.6585805)",Tokyo Tower,,Minato City,,Low,?,
"POINT (139.7664859 35.6712228)",Ginza,,Chuo City,,Medium,?,
"POINT (139.709008 35.6699682)",Harajuku,,Shibuya,,Low,Coni/Jethro,
"POINT (139.7042207 35.6505465)",Daikanyamacho,,Shibuya,,,?,
"POINT (139.7021636 35.6584466)",Shibuya Sky,Best over look and but tickets in advance,Shibuya,,High,everyone,
"POINT (139.6916863 35.6894807)",Tokyo Metropolitan Government Building,,Shinjuku,,Low,?,
"POINT (139.7100517 35.68517629999999)",Shinjuku Gyoen National Garden,,Shinjuku,,Medium,Everyone,
"POINT (139.7047611 35.6941118)",Shinjuku Golden-Gai,,Shinjuku,,Medium,Coni,
"POINT (139.7345469 35.6618586)",Roppongi,Night life,Minato City,,Medium,Everyone,
"POINT (139.6995724 35.6929614)",Omoide Yokocho,Tiny Street food,Shinjuku,,Medium,Coni,
"POINT (139.692638 35.7707719)",Maenohara Onsen Sayano Yudokoro,,Itabashi,,High,Everyone,
"POINT (139.6481385 35.7438303)",Toshimaen Niwa-no-yu,Hot springs,Nerima,,?,?,
"POINT (139.647481 35.64881239999999)",Gōtokuji Temple,Cat temple,Setagay,,High,Coni,1/26
"POINT (135.4323185 34.6656768)",Universal Studios Japan,,Osaka,63.0,High,Everyone,
"POINT (135.5258546 34.6872571)",Osaka Castle,,Osaka,,Medium,Everyone,
"POINT (135.4967039 34.66155920000001)",Namba Yasaka Jinja,Shrine,Osaka,,Medium,Everyone,
"POINT (139.6972483 35.6894431)",Map Camera Buying Center,,Shinjuku,,High,Max,
"POINT (139.69887 35.6906813)",Itoya,Stationary Store,Shinjuku,,Low,,
"POINT (135.5009574 34.6738473)",Shinsaibashi PARCO,Has a mofusand store and popmart,Osaka,,High,Coni,
"POINT (140.317873 35.7845166)",Naritasan Omotesando,Lots of street food,Narita,,Medium,Everyone,
"POINT (139.7065474 35.667733)",Kiddy Land,,Shibuya,,High,Coni,
"POINT (139.7051552 35.6711522)",Harajuku Kawaii Zoo Land,Petting zoo,Shibuya,,Medium,Coni,
"POINT (139.7006293 35.65905789999999)",Hachikō Memorial Statue,,Shibuya,,High,Coni,
"POINT (139.7011419 35.6912505)",LUMINE EST Shinjuku,Shopping center,Shinjuku,,Medium,Coni,
"POINT (139.6979532 35.6898832)",Yodobashi Camera Shinjuku West Main Store,Has a variety of storefronts with different focuses,Shinjuku,,Low,Max,
"POINT (139.6995724 35.6929614)",Omoide Yokocho,Street food,Shinjuku,,Medium,Coni,
"POINT (139.7030262 35.68325069999999)",Broadway Diner,dinner and a show?,Shibuya,,Low,Coni,
"POINT (135.5030983 34.6686471)",Dotonbori,Large tourist area,Osaka,,High,Everyone,
"POINT (135.5065119 34.6504792)",Magic Cafe&Bar SHINSEKAI,,Osaka,,?,Everyone,
"POINT (135.4885255 34.6713511)",Orange Street,,Osaka,,Medium,Coni,
"POINT (135.4988498 34.6719318)",America-mura,America town,Osaka,,High,Coni,
"POINT (135.5134771 34.6460706)",ABENO HARUKAS,Commercial Complex,Osaka,,Low,Coni,
"POINT (135.5038278 34.66305380000001)",Maidreamin Osaka Namba Store,Maid Cafe - second location is nearby ,Osaka,,High,Coni,
"POINT (135.4965763 34.70178899999999)",Nintendo OSAKA,Another nintendo store,Osaka,,Medium,Max,
"POINT (135.5115036 34.7025505)",Tenjinbashi-suji Shopping Street the longest Arcade in Japan,food market,Osaka,,Medium,Everyone,
